threads	mean_estimate	ci_estimate	mean_duration	ci_duration	target
1	3.1414398269205694	0.006155276357600856	1.247351	0.0803410938150085	π
2	3.141379089040794	0.0038902330727423207	0.9910922	0.04091145026019386	π
4	3.1421834165293605	0.004054059639976519	0.8841522000000002	0.025599352811809882	π
8	3.141188424802466	0.0027594877688771483	0.8712376000000001	0.06810787226126859	π
16	3.140345544471151	0.0024350643893694176	0.8602930000000001	0.07007108274771841	π
32	3.141160412241753	0.0008612582930652831	0.870586	0.07070544504956885	π
64	3.141623044639912	0.00031073603282287315	0.8317068000000001	0.042449365686619146	π
128	3.1426060000755163	0.003471845180555379	0.8778686	0.07600929512329714	π
256	3.140906821538643	0.0018271943569649492	0.8976456	0.06297995188991876	π
512	3.141453225448749	0.005946508493792511	0.9939891999999999	0.11094960804446097	π
1024	3.141132499678817	0.0044135608089666085	1.1451252	0.20728827755361062	π
2048	3.140734306028297	0.002584348147061938	1.5100881999999998	0.36138372717107276	π
